Brand,Quarter,Market Share
Lenovo,Q3 '14,5.1
Lenovo,Q4 '14,3.7
Lenovo,Q1 '15,5.6
Lenovo,Q2 '15,4.8
Lenovo,Q3 '15,5.3
Lenovo,Q4 '15,5.1
Lenovo,Q1 '16,0
Lenovo,Q2 '16,0
Lenovo,Q3 '16,0
Lenovo,Q4 '16,0
Lenovo,Q1 '17,0
Lenovo,Q2 '17,0
Lenovo,Q3 '17,0
Lenovo,Q4 '17,0
Lenovo,Q1 '18,0
Lenovo,Q2 '18,0
Lenovo,Q3 '18,0
Lenovo,Q4 '18,0
Lenovo,Q1 '19,0
Lenovo,Q2 '19,0
vivo,Q4 '09,0
vivo,Q1 '10,0
vivo,Q2 '10,0
vivo,Q3 '10,0
vivo,Q4 '10,0
vivo,Q1 '11,0
vivo,Q2 '11,0
vivo,Q3 '11,0
vivo,Q4 '11,0
vivo,Q1 '12,0
vivo,Q2 '12,0
vivo,Q3 '12,0
vivo,Q4 '12,0
vivo,Q1 '13,0
vivo,Q2 '13,0
vivo,Q3 '13,0
vivo,Q4 '13,0
vivo,Q1 '14,0
vivo,Q2 '14,0
vivo,Q3 '14,0
vivo,Q4 '14,0
vivo,Q1 '15,1.9
vivo,Q2 '15,2.7
vivo,Q3 '15,2.9
vivo,Q4 '15,3
vivo,Q1 '16,4.4
vivo,Q2 '16,4.8
vivo,Q3 '16,5.8
vivo,Q4 '16,5.8
vivo,Q1 '17,5.2
vivo,Q2 '17,0
vivo,Q3 '17,0
vivo,Q4 '17,0
vivo,Q1 '18,5.6
vivo,Q2 '18,0
vivo,Q3 '18,0
vivo,Q4 '18,0
vivo,Q1 '19,7.5
vivo,Q2 '19,0
